id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
807803,-1,-1,-1,67.38503409
807805,170.5378674,-1,-1,-1
807807,-1,-1,-1,-1
807809,-1,-1,-1,112.4983069
807811,-1,-1,-1,-1
807813,-1,183.8270361,-1,-1
807815,-1,-1,-1,-1
807817,184.2964454,-1,-1,190.8735427
807819,-1,-1,-1,-1
807821,-1,-1,-1,182.8369293
