id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
807787,-1,-1,-1,-1
807789,-1,-1,-1,-1
807791,-1,-1,-1,0.272766027
807793,-1,125.7828415,-1,-1
807795,-1,-1,-1,-1
807797,-1,-1,-1,144.273646
807799,-1,-1,-1,-1
807801,-1,-1,-1,-1
807803,-1,-1,-1,67.38503409
