id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
807821,-1,-1,-1,182.8369293
807823,-1,110.5819565,-1,-1
807825,-1,-1,-1,-1
807827,-1,-1,-1,-1
807829,-1,-1,-1,64.6004715
807831,134.801599,-1,-1,-1
807833,-1,-1,-1,-1
807835,-1,-1,-1,91.67299745
807837,-1,83.34803009,-1,-1
807839,-1,-1,-1,-1
807841,-1,-1,-1,-1
807843,-1,-1,-1,-1
807845,-1,-1,-1,-1
807847,-1,-1,-1,-1
807849,-1,-1,-1,-1
