id,before_on_ramp,after_on_ramp,before_off_ramp,after_off_ramp
929,0,0,0,0
930,1,0,0,0
931,0,1,0,0
932,0,0,0,0
933,0,0,1,0
934,1,0,0,1
959,0,1,1,0
960,0,0,0,1
